id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,dana_alokasi_khusus,jenis_dana_alokasi_khusus,jumlah_alokasi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,DAK FISIK,REGULER,71495479000.0,RUPIAH,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,DAK FISIK,PENUGASAN,17172777000.0,RUPIAH,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DAK FISIK,REGULER,,RUPIAH,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DAK FISIK,PENUGASAN,,RUPIAH,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DAK FISIK,REGULER,6915884000.0,RUPIAH,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DAK FISIK,PENUGASAN,9700899000.0,RUPIAH,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DAK FISIK,REGULER,7918927000.0,RUPIAH,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DAK FISIK,PENUGASAN,3013193200.0,RUPIAH,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,DAK FISIK,REGULER,23419642000.0,RUPIAH,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,DAK FISIK,PENUGASAN,9470233000.0,RUPIAH,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DAK FISIK,REGULER,21531928000.0,RUPIAH,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DAK FISIK,PENUGASAN,15249033133.0,RUPIAH,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DAK FISIK,REGULER,8531823000.0,RUPIAH,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DAK FISIK,PENUGASAN,2162804000.0,RUPIAH,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DAK FISIK,REGULER,,RUPIAH,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DAK FISIK,PENUGASAN,,RUPIAH,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,DAK FISIK,REGULER,40633421532.0,RUPIAH,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,DAK FISIK,PENUGASAN,6821109993.0,RUPIAH,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DAK FISIK,REGULER,10564749000.0,RUPIAH,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DAK FISIK,PENUGASAN,0.0,RUPIAH,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DAK FISIK,REGULER,7939419000.0,RUPIAH,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DAK FISIK,PENUGASAN,8508318000.0,RUPIAH,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DAK FISIK,REGULER,45051800836.0,RUPIAH,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DAK FISIK,PENUGASAN,5375196719.0,RUPIAH,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,DAK FISIK,REGULER,30587113760.0,RUPIAH,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,DAK FISIK,PENUGASAN,5044693000.0,RUPIAH,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DAK FISIK,REGULER,8400028917.0,RUPIAH,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DAK FISIK,PENUGASAN,2056935016.0,RUPIAH,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DAK FISIK,REGULER,36111705000.0,RUPIAH,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DAK FISIK,PENUGASAN,0.0,RUPIAH,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,DAK FISIK,REGULER,0.0,RUPIAH,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,DAK FISIK,PENUGASAN,0.0,RUPIAH,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DAK FISIK,REGULER,,RUPIAH,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DAK FISIK,PENUGASAN,10559846208.0,RUPIAH,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DAK FISIK,REGULER,40476658000.0,RUPIAH,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DAK FISIK,PENUGASAN,932936000.0,RUPIAH,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,DAK FISIK,REGULER,10590598000.0,RUPIAH,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,DAK FISIK,PENUGASAN,7920958000.0,RUPIAH,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,DAK FISIK,REGULER,,RUPIAH,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,DAK FISIK,PENUGASAN,,RUPIAH,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,DAK FISIK,REGULER,15506502000.0,RUPIAH,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,DAK FISIK,PENUGASAN,6158519000.0,RUPIAH,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,DAK FISIK,REGULER,34382089000.0,RUPIAH,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,DAK FISIK,PENUGASAN,3860074965.0,RUPIAH,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,DAK FISIK,REGULER,5388355000.0,RUPIAH,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,DAK FISIK,PENUGASAN,,RUPIAH,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,DAK FISIK,REGULER,,RUPIAH,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,DAK FISIK,PENUGASAN,,RUPIAH,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,DAK FISIK,REGULER,5555169000.0,RUPIAH,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,DAK FISIK,PENUGASAN,20985999000.0,RUPIAH,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DAK FISIK,REGULER,5063868900.0,RUPIAH,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DAK FISIK,PENUGASAN,884270000.0,RUPIAH,2019
53,32,JAWA BARAT,3279,KOTA BANJAR,DAK FISIK,REGULER,2132156000.0,RUPIAH,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,DAK FISIK,PENUGASAN,373875000.0,RUPIAH,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,NON FISIK,BOK,10328393400.0,RUPIAH,2019
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,NON FISIK,AKREDITASI,6869300000.0,RUPIAH,2019
57,32,JAWA BARAT,3201,KABUPATEN BOGOR,NON FISIK,JAMPERSAL,12274000000.0,RUPIAH,2019
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NON FISIK,BOK,,RUPIAH,2019
59,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NON FISIK,AKREDITASI,,RUPIAH,2019
60,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NON FISIK,JAMPERSAL,,RUPIAH,2019
61,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NON FISIK,BOK,,RUPIAH,2019
62,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NON FISIK,AKREDITASI,32448000000.0,RUPIAH,2019
63,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NON FISIK,JAMPERSAL,12362000000.0,RUPIAH,2019
64,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NON FISIK,BOK,45074206000.0,RUPIAH,2019
65,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NON FISIK,AKREDITASI,2749050000.0,RUPIAH,2019
66,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NON FISIK,JAMPERSAL,13753000000.0,RUPIAH,2019
67,32,JAWA BARAT,3205,KABUPATEN GARUT,NON FISIK,BOK,47177000000.0,RUPIAH,2019
68,32,JAWA BARAT,3205,KABUPATEN GARUT,NON FISIK,AKREDITASI,3030000000.0,RUPIAH,2019
69,32,JAWA BARAT,3205,KABUPATEN GARUT,NON FISIK,JAMPERSAL,10912000000.0,RUPIAH,2019
70,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NON FISIK,BOK,39456610000.0,RUPIAH,2019
71,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NON FISIK,AKREDITASI,,RUPIAH,2019
72,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NON FISIK,JAMPERSAL,,RUPIAH,2019
73,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NON FISIK,BOK,271957000.0,RUPIAH,2019
74,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NON FISIK,AKREDITASI,3345235000.0,RUPIAH,2019
75,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NON FISIK,JAMPERSAL,1860000000.0,RUPIAH,2019
76,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON FISIK,BOK,,RUPIAH,2019
77,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON FISIK,AKREDITASI,,RUPIAH,2019
78,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON FISIK,JAMPERSAL,,RUPIAH,2019
79,32,JAWA BARAT,3209,KABUPATEN CIREBON,NON FISIK,BOK,46796660000.0,RUPIAH,2019
80,32,JAWA BARAT,3209,KABUPATEN CIREBON,NON FISIK,AKREDITASI,4412455000.0,RUPIAH,2019
81,32,JAWA BARAT,3209,KABUPATEN CIREBON,NON FISIK,JAMPERSAL,2455000000.0,RUPIAH,2019
82,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NON FISIK,BOK,23854307150.0,RUPIAH,2019
83,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NON FISIK,AKREDITASI,2750167000.0,RUPIAH,2019
84,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NON FISIK,JAMPERSAL,3817000000.0,RUPIAH,2019
85,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NON FISIK,BOK,24041262000.0,RUPIAH,2019
86,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NON FISIK,AKREDITASI,3009115000.0,RUPIAH,2019
87,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NON FISIK,JAMPERSAL,2269000000.0,RUPIAH,2019
88,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NON FISIK,BOK,17515396070.0,RUPIAH,2019
89,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NON FISIK,AKREDITASI,4723133401.0,RUPIAH,2019
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NON FISIK,JAMPERSAL,,RUPIAH,2019
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,NON FISIK,BOK,31172989000.0,RUPIAH,2019
92,32,JAWA BARAT,3213,KABUPATEN SUBANG,NON FISIK,AKREDITASI,3253582000.0,RUPIAH,2019
93,32,JAWA BARAT,3213,KABUPATEN SUBANG,NON FISIK,JAMPERSAL,1468000000.0,RUPIAH,2019
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NON FISIK,BOK,14077131621.0,RUPIAH,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NON FISIK,AKREDITASI,1334426734.0,RUPIAH,2019
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NON FISIK,JAMPERSAL,3007056800.0,RUPIAH,2019
97,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NON FISIK,BOK,45215344000.0,RUPIAH,2019
98,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NON FISIK,AKREDITASI,3235316000.0,RUPIAH,2019
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NON FISIK,JAMPERSAL,2589000000.0,RUPIAH,2019
100,32,JAWA BARAT,3216,KABUPATEN BEKASI,NON FISIK,BOK,36359000000.0,RUPIAH,2019
101,32,JAWA BARAT,3216,KABUPATEN BEKASI,NON FISIK,AKREDITASI,0.0,RUPIAH,2019
102,32,JAWA BARAT,3216,KABUPATEN BEKASI,NON FISIK,JAMPERSAL,0.0,RUPIAH,2019
103,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NON FISIK,BOK,24260000000.0,RUPIAH,2019
104,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NON FISIK,AKREDITASI,4903957000.0,RUPIAH,2019
105,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NON FISIK,JAMPERSAL,9251000000.0,RUPIAH,2019
106,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NON FISIK,BOK,11474000000.0,RUPIAH,2019
107,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NON FISIK,AKREDITASI,1295158000.0,RUPIAH,2019
108,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NON FISIK,JAMPERSAL,712000000.0,RUPIAH,2019
109,32,JAWA BARAT,3271,KOTA BOGOR,NON FISIK,BOK,14079000000.0,RUPIAH,2019
110,32,JAWA BARAT,3271,KOTA BOGOR,NON FISIK,AKREDITASI,2207774000.0,RUPIAH,2019
111,32,JAWA BARAT,3271,KOTA BOGOR,NON FISIK,JAMPERSAL,0.0,RUPIAH,2019
112,32,JAWA BARAT,3272,KOTA SUKABUMI,NON FISIK,BOK,,RUPIAH,2019
113,32,JAWA BARAT,3272,KOTA SUKABUMI,NON FISIK,AKREDITASI,,RUPIAH,2019
114,32,JAWA BARAT,3272,KOTA SUKABUMI,NON FISIK,JAMPERSAL,,RUPIAH,2019
115,32,JAWA BARAT,3273,KOTA BANDUNG,NON FISIK,BOK,39816018136.0,RUPIAH,2019
116,32,JAWA BARAT,3273,KOTA BANDUNG,NON FISIK,AKREDITASI,4654446000.0,RUPIAH,2019
117,32,JAWA BARAT,3273,KOTA BANDUNG,NON FISIK,JAMPERSAL,601000000.0,RUPIAH,2019
118,32,JAWA BARAT,3274,KOTA CIREBON,NON FISIK,BOK,12562000000.0,RUPIAH,2019
119,32,JAWA BARAT,3274,KOTA CIREBON,NON FISIK,AKREDITASI,309541000.0,RUPIAH,2019
120,32,JAWA BARAT,3274,KOTA CIREBON,NON FISIK,JAMPERSAL,542000000.0,RUPIAH,2019
121,32,JAWA BARAT,3275,KOTA BEKASI,NON FISIK,BOK,21453000000.0,RUPIAH,2019
122,32,JAWA BARAT,3275,KOTA BEKASI,NON FISIK,AKREDITASI,3516219000.0,RUPIAH,2019
123,32,JAWA BARAT,3275,KOTA BEKASI,NON FISIK,JAMPERSAL,0.0,RUPIAH,2019
124,32,JAWA BARAT,3276,KOTA DEPOK,NON FISIK,BOK,,RUPIAH,2019
125,32,JAWA BARAT,3276,KOTA DEPOK,NON FISIK,AKREDITASI,,RUPIAH,2019
126,32,JAWA BARAT,3276,KOTA DEPOK,NON FISIK,JAMPERSAL,,RUPIAH,2019
127,32,JAWA BARAT,3277,KOTA CIMAHI,NON FISIK,BOK,7675000000.0,RUPIAH,2019
128,32,JAWA BARAT,3277,KOTA CIMAHI,NON FISIK,AKREDITASI,1179465000.0,RUPIAH,2019
129,32,JAWA BARAT,3277,KOTA CIMAHI,NON FISIK,JAMPERSAL,474000000.0,RUPIAH,2019
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NON FISIK,BOK,11612449210.0,RUPIAH,2019
131,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NON FISIK,AKREDITASI,239528400.0,RUPIAH,2019
132,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NON FISIK,JAMPERSAL,594179500.0,RUPIAH,2019
133,32,JAWA BARAT,3279,KOTA BANJAR,NON FISIK,BOK,6063610000.0,RUPIAH,2019
134,32,JAWA BARAT,3279,KOTA BANJAR,NON FISIK,AKREDITASI,779431000.0,RUPIAH,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,NON FISIK,JAMPERSAL,472000000.0,RUPIAH,2019
